activity_id,country_code,percentage
KE-RCO-155081-DigitalFinancialInnovationPlatform,KE,100.0
XM-DAC-928-KE-2026-27-03.003.AF01.KEN01,KE,100.0
DAC-1601-INV-087117,KE,100.0
DAC-1601-INV-044079,KE,100.0
DAC-1601-INV-062657,KE,100.0
DAC-1601-INV-060615,KE,100.0
DAC-1601-INV-071227,ZA,15.0
DAC-1601-INV-071227,ET,9.0
DAC-1601-INV-071227,KE,1.0
DAC-1601-INV-071227,NG,11.0
DAC-1601-INV-071227,SN,9.0
DAC-1601-INV-071227,TG,2.0
DAC-1601-INV-071227,ZM,13.0
GB-CHC-1093861-GB-1-204903,SO,100.0
XM-DAC-69-2-2017000233,KE,100.0
GB-CHC-261488-KEA48PL,ET,0.0
47045-TZA-M-MOF-6,TZ,100.0
CH-4-2021-2018010908,SS,
CH-4-2022-2018010908,SS,
BE-BCE_KBO-0418766123-prg2022-255-KE2024TEA556A104,KE,
47045-SOM-M-UNICEF-4,SO,100.0
47045-COD-M-MOH-4,CD,100.0
47045-COD-M-SANRU-5,CD,100.0
47045-TZA-T-MOF-4,TZ,100.0
47045-SOM-T-WV-5,SO,100.0
DE-1-202506004-8284,ET,100.0
DE-1-202506004-7921,UG,100.0
DAC-1601-INV-090390,AO,1.0
DAC-1601-INV-090390,CD,1.0
DAC-1601-INV-090390,ET,2.0
DAC-1601-INV-090390,KE,11.0
DAC-1601-INV-090390,MW,1.0
DAC-1601-INV-090390,ML,6.0
DAC-1601-INV-090390,NE,9.0
DAC-1601-INV-090390,NG,27.0
DAC-1601-INV-090390,ZW,1.0
DAC-1601-INV-090390,RW,12.0
DAC-1601-INV-090390,SN,2.0
DAC-1601-INV-090390,TZ,5.0
DAC-1601-INV-090390,UG,1.0
DAC-1601-INV-090390,BF,11.0
DAC-1601-INV-090390,ZM,1.0
DAC-1601-INV-090390,PK,8.0
DAC-1601-INV-090390,ID,1.0
DAC-1601-INV-071981,ZA,9.0
DAC-1601-INV-071981,CD,6.0
DAC-1601-INV-071981,GH,5.0
DAC-1601-INV-071981,KE,6.0
DAC-1601-INV-071981,NG,6.0
DAC-1601-INV-071981,SN,9.0
DAC-1601-INV-071981,NA,2.0
DAC-1601-INV-071981,ZM,6.0
DE-1-202306009-7335,ET,100.0
47045-UGA-M-TASO-4,UG,100.0
CH-4-2008004722,CD,
CH-4-2008004727,CD,
CH-4-2021-2008004727,CD,
CH-4-2008004727,CD,
GB-COH-RC000660-NIHR134530,KE,30.28
GB-COH-RC000660-NIHR134530,RW,4.99
GB-COH-RC000660-NIHR134530,UG,4.89
GB-COH-RC000660-NIHR134530,TZ,5.55
GB-COH-RC000660-NIHR134530,CM,6.74
GB-COH-RC000660-NIHR134530,GB,47.55
CH-4-2023-2010006091,RW,
CH-4-2023-2010006092,RW,
CH-4-2021-2010006027,RW,
CH-4-2024-2010006092,RW,
CH-4-2022-2010006081,RW,
CH-4-2022-2010006082,RW,
CH-4-2022-2010006091,RW,
CH-4-2022-2010006092,RW,
CH-4-2024-2010006092,RW,
47045-ETH-T-FMOH-6,ET,100.0
DAC-1601-INV-044979,CD,46.0
DAC-1601-INV-044979,NG,39.0
CA-3-P011791001,BD,18.63
CA-3-P011791001,KE,28.77
CA-3-P011791001,KH,1.22
CA-3-P011791001,SO,19.68
CA-3-P011791001,TZ,31.7
US-EIN-13-5660870-DF229,SS,
47045-UGA-M-MoFPED-4,UG,100.0
GB-GOV-1-301474-415,ET,100.0
DAC-1601-INV-016248,ET,22.0
DAC-1601-INV-016248,GH,27.0
DAC-1601-INV-016248,KE,24.0
DAC-1601-INV-016248,RW,27.0
XM-DAC-69-18-2021000229,RW,100.0
XM-DAC-69-18-2021000230,RW,100.0
XM-DAC-69-18-2021000226,RW,100.0
XI-IATI-EC_INTPA-2022-PC-13030,RW,
47045-UGA-T-MoFPED-6,UG,100.0
47045-ETH-M-FMOH-4,ET,100.0
GB-CHC-802353-Hamlin Fistula,ET,100.0
GB-GOV-1-300585,CD,13.75
GB-GOV-1-300585,AO,23.41
GB-GOV-1-300585,RW,4.74
CH-4-2002003304,TZ,
CH-4-2002003305,TZ,
CH-4-2002003304,TZ,
CH-4-2002003305,TZ,
CH-4-2002003304,TZ,
47045-KEN-M-TNT-4,KE,100.0
47045-KEN-M-AMREF-4,KE,100.0
XM-DAC-301-2-110117-001,UG,70.0
XM-DAC-301-2-110117-001,TZ,15.0
XM-DAC-301-2-110117-001,RW,15.0
XM-OCHAS-HPC6770-4315,SO,100.0
DAC-1601-INV-056612,KE,25.0
DAC-1601-INV-056612,RW,25.0
DAC-1601-INV-056612,UG,25.0
DAC-1601-INV-056612,BF,25.0
GB-COH-RC000297-SPARK-NIHR200842,ET,37.0
GB-COH-RC000297-SPARK-NIHR200842,KE,63.0
47045-KEN-T-TNT-6,KE,100.0
47045-KEN-T-AMREF-6,KE,100.0
44000-P181385,SS,100.0
CH-4-2021-2020009715,SS,
CH-4-2020001101,SS,
CH-4-2020001208,SS,
CH-4-2020001178,SS,
FI-3-2014-2001013663,TZ,100.0
FI-3-2014-2011110058,TZ,100.0
GB-CHC-1113101-AGS14,TZ,
FI-3-2018-2011110058,TZ,100.0
FI-3-2019-2011110058,TZ,100.0
FI-3-2016-2011110058,TZ,100.0
FI-3-2017-2011110058,TZ,100.0
FI-3-2015-2011110058,TZ,100.0
FI-3-2013-2011110058,TZ,100.0
FI-3-2013-2001013663,TZ,100.0
FI-3-2013-2008080053,TZ,100.0
FI-3-2012-2011110058,TZ,100.0
FI-3-2012-2001013663,TZ,100.0
KR-GOV-110-1352000_2023_010,TZ,100.0
DAC-1601-INV-061347,KE,33.0
DAC-1601-INV-061347,RW,34.0
DAC-1601-INV-061347,TZ,33.0
XM-DAC-928-SO-2026-27-01.002.EM01.SOM01,SO,100.0
XM-DAC-928-SO-2026-27-02.001.EM01.SOM02,SO,100.0
FI-3-2014-2013130088,SO,100.0
FI-3-2013-2013130088,SO,100.0
FI-3-2016-2013130088,SO,100.0
FI-3-2015-2013130088,SO,100.0
DAC-1601-INV-044980,CD,50.0
DAC-1601-INV-044980,NG,50.0
XM-DAC-928-CD-2026-27-01.002.AF01.COD01,CD,100.0
XM-DAC-928-CD-2026-27-02.001.AF01.COD02,CD,100.0
GB-GOV-1-300427-104,SS,100.0
